id, minutes, ingredients, simple
127244, 60, 16, 0
23891, 25, 7, 0
94746, 10, 6, 0
67660, 5, 6, 0
157911, 60, 14, 0
152828, 40, 7, 0
33941, 18, 9, 0
446597, 15, 5, 1
366174, 7, 9, 0
74205, 20, 7, 0
504666, 65, 20, 0
81006, 12, 7, 0
280968, 85, 11, 0
204134, 5, 3, 1
18593, 35, 7, 0
25623, 6, 4, 1
65559, 24, 14, 0
99836, 180, 7, 0
87775, 80, 13, 0
425704, 40, 12, 0
101799, 10, 8, 0
106325, 70, 11, 0
99283, 315, 6, 0
179504, 150, 11, 0
276123, 60, 7, 0
498382, 85, 18, 0
197140, 40, 6, 0
484223, 18, 4, 1
385472, 90, 9, 0
63150, 250, 4, 0
378114, 20, 11, 0
318295, 130, 7, 0
259784, 90, 9, 0
308301, 120, 11, 0
422795, 30, 7, 0
104773, 150, 11, 0
114103, 555, 11, 0
496430, 40, 10, 0
160325, 45, 7, 0
328135, 15, 6, 0
69317, 10, 8, 0
70453, 25, 4, 0
52233, 25, 8, 0
63368, 55, 8, 0
66842, 2, 4, 1
337928, 55, 4, 0
95046, 15, 6, 0
140245, 5, 5, 1
299022, 25, 6, 0
292204, 20, 8, 0
141000, 35, 16, 0
39771, 16, 9, 0
104103, 15, 8, 0
402696, 20, 6, 0
17980, 40, 8, 0
75313, 603, 5, 0
256227, 495, 10, 0
98524, 40, 3, 0
44512, 50, 20, 0
377936, 65, 5, 0
87295, 20, 3, 1
94928, 5, 5, 1
210528, 70, 3, 0
122690, 495, 7, 0
305350, 20, 14, 0
192462, 70, 11, 0
292055, 30, 6, 0
85055, 145, 10, 0
289281, 13, 6, 0
390805, 90, 9, 0
61760, 20, 8, 0
117261, 20, 8, 0
229757, 20, 6, 0
80468, 75, 9, 0
219096, 80, 13, 0
198272, 25, 7, 0
317583, 65, 4, 0
43395, 195, 13, 0
360691, 13, 4, 1
229471, 30, 5, 0
297759, 65, 5, 0
524989, 45, 15, 0
421800, 130, 6, 0
337996, 4320, 12, 0
301392, 90, 6, 0
195867, 25, 13, 0
122909, 70, 8, 0
274705, 50, 6, 0
36681, 55, 11, 0
330982, 10, 6, 0
196007, 200, 17, 0
42314, 60, 5, 0
356706, 70, 10, 0
117619, 22, 6, 0
117427, 200, 9, 0
216424, 20, 6, 0
143195, 1530, 10, 0
452821, 30, 16, 0
341622, 10, 5, 1
319943, 8, 11, 0
261088, 80, 16, 0
66257, 125, 8, 0
404093, 11, 8, 0
208241, 25, 10, 0
491998, 40, 13, 0
43341, 40, 5, 0
368762, 60, 7, 0
299620, 10, 7, 0
42704, 75, 8, 0
238846, 15, 8, 0
111500, 15, 4, 1
202633, 45, 10, 0
309419, 75, 8, 0
187322, 5, 7, 0
14253, 10, 9, 0
205356, 28, 9, 0
32736, 45, 9, 0
380421, 30, 7, 0
490918, 35, 17, 0
271217, 10, 4, 1
178242, 80, 17, 0
178540, 70, 6, 0
316184, 15, 5, 1
408293, 35, 4, 0
76604, 30, 8, 0
56776, 70, 3, 0
180800, 5, 3, 1
11555, 1450, 7, 0
36507, 21, 6, 0
464917, 30, 12, 0
313308, 50, 12, 0
220007, 30, 9, 0
38481, 30, 15, 0
419813, 35, 6, 0
163575, 10, 6, 0
222004, 40, 11, 0
68109, 50, 18, 0
403029, 60, 7, 0
65734, 30, 8, 0
482123, 45, 11, 0
523799, 5, 4, 1
2712, 45, 7, 0
44257, 130, 18, 0
111565, 70, 7, 0
36242, 180, 11, 0
260329, 15, 11, 0
285629, 60, 15, 0
250473, 30, 8, 0
339547, 15, 9, 0
73644, 30, 7, 0
145249, 80, 5, 0
50737, 27, 3, 0
110141, 30, 16, 0
78262, 35, 12, 0
350442, 30, 12, 0
487738, 85, 18, 0
168133, 65, 9, 0
208139, 30, 10, 0
445183, 5, 2, 1
101461, 105, 10, 0
39137, 492, 11, 0
386762, 150, 17, 0
124111, 40, 12, 0
167482, 30, 9, 0
227509, 185, 9, 0
202670, 50, 9, 0
434181, 41, 10, 0
12520, 25, 9, 0
279412, 120, 7, 0
23187, 10, 7, 0
334985, 40, 6, 0
318992, 30, 9, 0
400445, 60, 13, 0
257289, 50, 10, 0
258742, 35, 15, 0
385241, 25, 14, 0
315114, 35, 17, 0
405726, 15, 5, 1
373728, 30, 12, 0
200562, 10, 3, 1
279648, 120, 16, 0
29598, 35, 10, 0
164257, 80, 10, 0
336006, 55, 7, 0
290595, 50, 6, 0
411512, 40, 11, 0
188935, 20, 7, 0
328136, 5, 5, 1
310099, 50, 11, 0
331400, 35, 6, 0
8012, 75, 10, 0
134363, 25, 6, 0
389278, 10, 5, 1
280680, 5, 4, 1
125726, 25, 10, 0
64671, 840, 7, 0
11413, 85, 11, 0
126219, 40, 8, 0
26016, 30, 12, 0
