minutes, ingredients
127244, 60, 16
23891, 25, 7
94746, 10, 6
67660, 5, 6
157911, 60, 14
152828, 40, 7
33941, 18, 9
446597, 15, 5
366174, 7, 9
74205, 20, 7
504666, 65, 20
81006, 12, 7
280968, 65, 11
204134, 5, 3
18593, 35, 7
25623, 6, 4
65559, 24, 14
99836, 65, 7
87775, 65, 13
425704, 40, 12
101799, 10, 8
106325, 65, 11
99283, 65, 6
179504, 65, 11
276123, 60, 7
498382, 65, 18
197140, 40, 6
484223, 18, 4
385472, 65, 9
63150, 65, 4
378114, 20, 11
318295, 65, 7
259784, 65, 9
308301, 65, 11
422795, 30, 7
104773, 65, 11
114103, 65, 11
496430, 40, 10
160325, 45, 7
328135, 15, 6
69317, 10, 8
70453, 25, 4
52233, 25, 8
63368, 55, 8
66842, 2, 4
337928, 55, 4
95046, 15, 6
140245, 5, 5
299022, 25, 6
292204, 20, 8
141000, 35, 16
39771, 16, 9
104103, 15, 8
402696, 20, 6
17980, 40, 8
75313, 65, 5
256227, 65, 10
98524, 40, 3
44512, 50, 20
377936, 65, 5
87295, 20, 3
94928, 5, 5
210528, 65, 3
122690, 65, 7
305350, 20, 14
192462, 65, 11
292055, 30, 6
85055, 65, 10
289281, 13, 6
390805, 65, 9
61760, 20, 8
117261, 20, 8
229757, 20, 6
80468, 65, 9
219096, 65, 13
198272, 25, 7
317583, 65, 4
43395, 65, 13
360691, 13, 4
229471, 30, 5
297759, 65, 5
524989, 45, 15
421800, 65, 6
337996, 65, 12
301392, 65, 6
195867, 25, 13
122909, 65, 8
274705, 50, 6
36681, 55, 11
330982, 10, 6
196007, 65, 17
42314, 60, 5
356706, 65, 10
117619, 22, 6
117427, 65, 9
216424, 20, 6
143195, 65, 10
452821, 30, 16
341622, 10, 5
319943, 8, 11
261088, 65, 16
66257, 65, 8
404093, 11, 8
208241, 25, 10
491998, 40, 13
43341, 40, 5
368762, 60, 7
299620, 10, 7
42704, 65, 8
238846, 15, 8
111500, 15, 4
202633, 45, 10
309419, 65, 8
187322, 5, 7
14253, 10, 9
205356, 28, 9
32736, 45, 9
380421, 30, 7
490918, 35, 17
271217, 10, 4
178242, 65, 17
178540, 65, 6
316184, 15, 5
408293, 35, 4
76604, 30, 8
56776, 65, 3
180800, 5, 3
11555, 65, 7
36507, 21, 6
464917, 30, 12
313308, 50, 12
220007, 30, 9
38481, 30, 15
419813, 35, 6
163575, 10, 6
222004, 40, 11
68109, 50, 18
403029, 60, 7
65734, 30, 8
482123, 45, 11
523799, 5, 4
2712, 45, 7
44257, 65, 18
111565, 65, 7
36242, 65, 11
260329, 15, 11
285629, 60, 15
250473, 30, 8
339547, 15, 9
73644, 30, 7
145249, 65, 5
50737, 27, 3
110141, 30, 16
78262, 35, 12
350442, 30, 12
487738, 65, 18
168133, 65, 9
208139, 30, 10
445183, 5, 2
101461, 65, 10
39137, 65, 11
386762, 65, 17
124111, 40, 12
167482, 30, 9
227509, 65, 9
202670, 50, 9
434181, 41, 10
12520, 25, 9
279412, 65, 7
23187, 10, 7
334985, 40, 6
318992, 30, 9
400445, 60, 13
257289, 50, 10
258742, 35, 15
385241, 25, 14
315114, 35, 17
405726, 15, 5
373728, 30, 12
200562, 10, 3
279648, 65, 16
29598, 35, 10
164257, 65, 10
336006, 55, 7
290595, 50, 6
411512, 40, 11
188935, 20, 7
328136, 5, 5
310099, 50, 11
331400, 35, 6
8012, 65, 10
134363, 25, 6
389278, 10, 5
280680, 5, 4
125726, 25, 10
64671, 65, 7
11413, 65, 11
126219, 40, 8
26016, 30, 12
383843, 65, 13
361099, 15, 6
463861, 50, 11
26686, 30, 8
52157, 50, 10
318735, 26, 12
369159, 35, 9
103366, 65, 18
222074, 60, 13
238697, 45, 9
391680, 65, 13
104760, 30, 5
126465, 25, 11
139343, 65, 12
429506, 65, 9
299228, 60, 17
407342, 40, 10
135516, 65, 12
29005, 65, 4
430518, 30, 9
470973, 65, 20
34395, 5, 7
41654, 55, 9
290823, 20, 9
152928, 15, 7
11567, 40, 10
42699, 20, 10
20567, 25, 10
195618, 20, 5
279649, 65, 6
242108, 40, 4
42926, 30, 6
158480, 65, 12
272649, 20, 10
105520, 18, 7
137622, 40, 7
454119, 10, 4
169422, 45, 7
296122, 50, 13
408712, 15, 13
211928, 55, 17
51830, 65, 6
212608, 22, 9
15229, 65, 9
216527, 45, 10
423393, 65, 5
503314, 20, 7
