id, minutes, n_ingredients
446597, 15, 5
204134, 5, 3
25623, 6, 4
484223, 18, 4
63150, 250, 4
70453, 25, 4
66842, 2, 4
337928, 55, 4
140245, 5, 5
75313, 603, 5
98524, 40, 3
377936, 65, 5
87295, 20, 3
94928, 5, 5
210528, 70, 3
317583, 65, 4
360691, 13, 4
229471, 30, 5
297759, 65, 5
42314, 60, 5
341622, 10, 5
43341, 40, 5
111500, 15, 4
271217, 10, 4
316184, 15, 5
408293, 35, 4
56776, 70, 3
180800, 5, 3
523799, 5, 4
145249, 80, 5
50737, 27, 3
445183, 5, 2
405726, 15, 5
200562, 10, 3
328136, 5, 5
389278, 10, 5
280680, 5, 4
104760, 30, 5
29005, 425, 4
195618, 20, 5
242108, 40, 4
454119, 10, 4
423393, 80, 5
162758, 60, 4
270542, 5, 4
212025, 750, 5
446188, 25, 5
118207, 490, 5
110347, 2, 5
223668, 4, 3
126410, 2, 4
297272, 10, 4
285373, 2, 5
110332, 75, 5
176228, 615, 4
362820, 15, 5
180073, 20, 5
144591, 10, 4
224312, 15, 5
120835, 5, 3
352940, 1, 3
356517, 18, 4
9751, 7, 4
44999, 10, 3
383988, 5, 5
39985, 2, 2
321751, 35, 4
472899, 110, 4
81586, 60, 5
390084, 20, 4
119066, 10, 5
333400, 20, 5
103435, 5, 5
248469, 75, 4
266014, 40, 5
355615, 5, 5
239126, 25, 5
221642, 23, 3
58995, 10, 5
46974, 18, 5
146546, 13, 3
311429, 50, 4
281384, 20, 3
138510, 255, 5
515142, 21, 5
227111, 10, 5
137167, 5, 3
264945, 3, 3
156354, 30, 4
26220, 25, 5
298230, 37, 4
108469, 10, 4
497326, 45, 4
358814, 10, 3
112817, 90, 5
240208, 10, 3
33975, 6, 5
189621, 3, 2
174874, 25, 5
392906, 25, 4
93249, 13, 3
99491, 15, 4
188466, 10, 5
157702, 35, 4
465102, 35, 5
168220, 32, 4
301632, 35, 4
69640, 10, 2
254951, 2, 2
471666, 20, 4
493351, 20, 3
335180, 5, 2
302050, 20, 4
108197, 5, 5
271906, 20, 4
278595, 5, 5
352343, 40, 5
505132, 50, 5
99949, 60, 3
57247, 60, 5
33443, 60, 5
260609, 50, 5
24579, 32, 5
178128, 1, 4
164212, 20, 5
34765, 1, 4
137916, 1, 3
50150, 35, 3
26926, 45, 5
530231, 315, 5
230188, 5, 4
211827, 10, 5
173494, 13, 5
174187, 30, 5
155329, 15, 4
73637, 130, 5
20782, 14, 4
34923, 15, 4
35093, 20, 5
164333, 1, 5
200170, 50, 4
58652, 38, 5
333447, 45, 4
436741, 5, 2
277884, 35, 4
13249, 25, 4
364325, 3, 5
387691, 5, 3
428239, 10, 3
190873, 180, 5
38582, 10, 3
310244, 15, 5
451374, 5, 3
348992, 35, 4
3095, 10, 2
219732, 5, 3
264490, 5, 4
24193, 10, 4
369982, 7, 3
63443, 20, 5
303627, 90, 4
317715, 130, 5
78696, 15, 4
59503, 5, 5
308187, 75, 5
115050, 490, 4
329792, 5, 5
146866, 45, 5
345531, 33, 4
108124, 20, 5
446888, 15, 3
145779, 10, 5
93367, 10, 5
297723, 5, 5
129967, 2, 3
83960, 20, 5
191607, 10, 4
321733, 140, 2
46225, 45, 4
30229, 35, 3
71649, 70, 5
76492, 80, 5
14450, 1, 5
18537, 100, 4
247018, 7, 5
310271, 2, 5
8474, 55, 5
149144, 10, 5
380285, 65, 4
14764, 30, 5
141503, 30, 5
185915, 5, 4
229876, 1450, 4
318025, 30, 5
221349, 15, 4
357761, 15, 5
31021, 10, 5
98708, 15, 4
145016, 195, 5
209011, 40, 5
72131, 101, 4
493077, 25, 5
152760, 8, 3
22787, 15, 4
13608, 70, 5
82773, 10, 4
233113, 65, 3
114567, 3, 4
127531, 45, 5
200735, 65, 5
172432, 50, 5
295737, 40, 4
176248, 5, 4
322461, 45, 5
424035, 65, 4
86710, 15, 5
294506, 30, 3
382875, 2, 5
361680, 15, 5
69414, 15, 5
95312, 75, 5
